Date,open,high,low,close,adj_close,volume,llt,llt_slope,garch_volitility,bolinger_upper,bolinger_lower,bolinger_upper_smooth,bolinger_lower_smooth,peak,upper_change,lower_change,middle,upper_max,lower_min,upper_retrace,lower_retrace,upper_deviation,lower_deviation,upper_rise,lower_down,upper_down,lower_rise,Bull,Bear,position,buy,sell,sellshort,buytocover,buy_price,sell_price,short_price,buytocover_price,buy_time,sell_time,sellshort_time,buytocover_time,hold_duration,profit_list,profit_fee_list,profit_fee_list_realized,strategy_ret
2019-01-02,9725.26953125,9737.6796875,9542.51953125,9554.1396484375,9554.1396484375,1239100,9554.1396484375,-1217.5278982874916,650.6724447526831,10204.812093190183,8903.467203684817,10204.812093190183,8903.467203684817,False,728.6387900783193,1585.6993998600938,10204.812093190183,,,,,0.0,0.12752267044424778,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2019-01-03,9494.25,9554.5302734375,9474.4697265625,9492.419921875,9492.419921875,1560800,9514.021826171875,-40.117822265625364,944.1771714459603,10458.198997617836,8569.844654725914,10337.840218014702,8728.315365481392,False,133.02812482451918,175.15183820342463,10271.326155602443,,,,,0.01819364307825666,0.16565353636915373,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2019-01-04,9427.240234375,9427.240234375,9319.2802734375,9382.509765625,9382.509765625,1842100,9419.58786315918,-94.43396301269422,983.3718973118484,10402.959760471029,8436.215965847332,10361.751723612737,8621.058217072881,False,23.911505598034637,107.25714840851106,10301.468011605873,,,,,0.009852163667431905,0.18106662503413157,False,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
2019-01-07,9460.2001953125,9596.349609375,9460.2001953125,9590.2998046875,9590.2998046875,1722300,9468.8560881958,49.2682250366197,1075.6525886073737,10544.508676803174,8393.203499588426,10414.510830330213,8555.280083075888,False,52.75910671747624,65.77813399699335,10329.728716286958,,,,,0.02079241056714018,0.18747106239539463,False,True,False,False,False,True,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,9460.2001953125,0.0,,,2019-01-07,,,-26271.875,-27471.875,0.0,-26271.875
2019-01-08,9591.5595703125,9600.9404296875,9547.6298828125,9563.599609375,9563.599609375,1423100,9580.886553919981,112.03046572418134,1027.5046144017438,10608.391168321725,8553.381939518238,10461.408834204496,8554.820938302144,True,46.89800387428295,0.45914477374390117,9974.747160689996,,,,,0.06352481896773178,0.14249636590020956,False,True,False,False,False,True,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9591.5595703125,,,,2019-01-08,1.0,0.0,0.0,-27471.875,-26271.875
2019-01-09,9584.6298828125,9741.6396484375,9584.6298828125,9738.3095703125,9738.3095703125,2281800,9673.519784322812,92.63323040283103,918.0489379318059,10591.568722254618,8755.470846391006,10488.866625217435,8597.148903742216,False,27.457791012939197,42.32796544007215,10060.433738111236,,,,,0.052794441866986376,0.12971238871905993,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-10,9731.1103515625,9731.1103515625,9683.2001953125,9720.6904296875,9720.6904296875,1609200,9760.84987568737,87.33009136455803,827.5821423410198,10588.43201802839,8933.26773334635,10507.69197657427,8660.700654870843,False,18.82535135683429,63.551751128627075,10124.327772177383,,,,,0.04584049986275731,0.1176433700718559,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-11,9753.6298828125,9796.98046875,9736.0,9759.400390625,9759.400390625,1618600,9769.783804709232,8.933929021861331,742.3374324182136,10512.121237127445,9027.446372291019,10508.45759651699,8724.094494947138,False,0.76561994272015,63.39384007629451,10172.344000219835,,,,,0.033402059240256445,0.11255003054399987,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-14,9737.669921875,9762.3701171875,9677.490234375,9708.2197265625,9708.2197265625,1356000,9751.525000302103,-18.25880440712899,733.6197819772125,10485.144782279316,9017.90521832489,10504.718107119163,8771.223171641323,False,3.7394893978271284,47.12867669418483,10209.274456541982,,,,,0.027021540748232122,0.11669479974198135,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-15,9701.9296875,9806.0400390625,9701.9296875,9806.0400390625,9806.0400390625,1709500,9767.193192508614,15.668192206510867,751.4372065121105,10518.630399020723,9015.755985996504,10506.813177731834,8808.047694646928,False,2.0950706126714067,36.82452300560544,10239.028328660967,,,,,0.027307480884401707,0.1194715263400818,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-16,9781.349609375,9803.990234375,9763.8095703125,9763.8095703125,9763.8095703125,1796800,9795.122518898712,27.92932639009814,736.1476156802725,10531.270134578985,9058.974903218439,10510.30300999497,8843.853206904421,False,3.4898322631361225,35.80551225749332,10263.689663327694,,,,,0.02607059254795667,0.1173763821419618,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-17,9773.3095703125,9826.25,9759.509765625,9789.150390625,9789.150390625,1634200,9785.041024759099,-10.081494139612914,708.8979532758974,10493.938978034996,9076.143071483202,10508.073768117258,8875.49762651652,False,2.2292418777124112,31.644419612099227,10284.055005393491,,,,,0.020408678535016628,0.11745483014985796,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
