Date,profitfee
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,-26271.875
2019-01-08,-24885.9375
2019-01-09,-54182.03125
2019-01-10,-58685.9375
2019-01-11,-55493.9453125
2019-01-14,-48345.8984375
2019-01-15,-64229.8828125
2019-01-16,-62621.875
2019-01-17,-64237.890625
2019-01-18,-82013.8671875
2019-01-21,-84067.96875
2019-01-22,-81867.96875
2019-01-23,-80959.9609375
2019-01-24,-92637.890625
2019-01-25,-109251.953125
2019-01-28,-96901.953125
2019-01-29,-91153.90625
2019-01-30,-113927.9296875
2019-02-11,-114375.9765625
2019-02-12,-132682.03125
2019-02-13,-127158.0078125
2019-02-14,-130195.8984375
2019-02-15,-127348.046875
2019-02-18,-138382.03125
2019-02-19,-144348.046875
2019-02-20,-165624.0234375
2019-02-21,-165624.0234375
2019-02-22,-158737.890625
2019-02-25,-146821.875
2019-02-26,-150266.015625
2019-02-27,-150377.9296875
2019-03-04,-162777.9296875
2019-03-05,-161791.9921875
2019-03-06,-155533.984375
2019-03-07,-172571.875
2019-03-08,-182574.0234375
2019-03-11,-168553.90625
2019-03-12,-161174.0234375
2019-03-13,-149167.96875
2019-03-14,-152495.8984375
2019-03-15,-136389.84375
2019-03-18,-127947.8515625
2019-03-19,-121567.96875
2019-03-20,-114641.9921875
2019-03-21,-98913.8671875
2019-03-22,-120403.90625
2019-03-25,-126091.9921875
2019-03-26,-118891.9921875
2019-03-27,-121624.0234375
2019-03-28,-117029.8828125
2019-03-29,-84491.9921875
2019-04-01,-88333.984375
2019-04-02,-82393.9453125
2019-04-03,-75435.9375
2019-04-08,-66350.0
2019-04-09,-59441.9921875
2019-04-10,-53579.8828125
2019-04-11,-63239.84375
2019-04-12,-57459.9609375
2019-04-15,-46301.953125
2019-04-16,-35105.859375
2019-04-17,-19779.8828125
2019-04-18,-23889.84375
2019-04-19,-28524.0234375
2019-04-22,-28571.875
2019-04-23,-16624.0234375
2019-04-24,-23881.8359375
2019-04-25,-30121.875
2019-04-26,-36845.8984375
2019-04-29,-38239.84375
2019-04-30,-28875.9765625
2019-05-02,-19829.8828125
2019-05-03,-26355.859375
2019-05-06,-44637.890625
2019-05-07,-39733.984375
2019-05-08,-45333.984375
2019-05-09,-77117.96875
2019-05-10,-90619.921875
2019-05-13,-131385.9375
2019-05-14,-120379.8828125
2019-05-15,-116111.9140625
2019-05-16,-125716.015625
2019-05-17,-146355.859375
2019-05-20,-154958.0078125
2019-05-21,-131208.0078125
2019-05-22,-146627.9296875
2019-05-23,-164797.8515625
2019-05-24,-158591.9921875
2019-05-27,-157711.9140625
2019-05-28,-171958.0078125
2019-05-29,-166003.90625
2019-05-30,-150203.90625
2019-05-31,-130937.890625
2019-06-03,-127525.9765625
2019-06-04,-127927.9296875
2019-06-05,-145447.8515625
2019-06-06,-130181.8359375
2019-06-10,-113919.921875
2019-06-11,-106277.9296875
2019-06-12,-110989.84375
2019-06-13,-118143.9453125
2019-06-14,-129687.890625
2019-06-17,-117997.8515625
2019-06-18,-97331.8359375
2019-06-19,-77545.8984375
2019-06-20,-63885.9375
2019-06-21,-80577.9296875
2019-06-24,-71991.9921875
2019-06-25,-95150.0
2019-06-26,-92587.890625
2019-06-27,-70095.8984375
2019-06-28,-63167.96875
2019-07-01,-51825.9765625
2019-07-02,-68808.0078125
2019-07-03,-76253.90625
2019-07-04,-71458.0078125
2019-07-05,-71458.0078125
2019-07-08,-71458.0078125
2019-07-09,-71458.0078125
2019-07-10,-71458.0078125
2019-07-11,-71458.0078125
2019-07-12,-71458.0078125
2019-07-15,-71458.0078125
2019-07-16,-71458.0078125
2019-07-17,-71458.0078125
2019-07-18,-71458.0078125
2019-07-19,-71458.0078125
2019-07-22,-71458.0078125
2019-07-23,-71458.0078125
2019-07-24,-71458.0078125
2019-07-25,-71458.0078125
2019-07-26,-71458.0078125
2019-07-29,-71458.0078125
2019-07-30,-71458.0078125
2019-07-31,-71458.0078125
2019-08-01,-71458.0078125
2019-08-02,-71458.0078125
2019-08-05,-71458.0078125
2019-08-06,-71458.0078125
2019-08-07,-71458.0078125
2019-08-08,-71458.0078125
2019-08-12,-71458.0078125
2019-08-13,-71458.0078125
2019-08-14,-71458.0078125
2019-08-15,-71458.0078125
2019-08-16,-71458.0078125
2019-08-19,-71458.0078125
2019-08-20,-71458.0078125
2019-08-21,-71458.0078125
2019-08-22,-71458.0078125
2019-08-23,-71458.0078125
2019-08-26,-71458.0078125
2019-08-27,-71458.0078125
2019-08-28,-71458.0078125
2019-08-29,-71458.0078125
2019-08-30,-71458.0078125
2019-09-02,-68252.1484375
2019-09-03,-80832.03125
2019-09-04,-50416.015625
2019-09-05,-37404.1015625
2019-09-06,-35706.0546875
2019-09-10,-36566.015625
2019-09-11,-28046.09375
2019-09-12,-29558.0078125
2019-09-16,-12326.171875
2019-09-17,-16612.109375
2019-09-18,-4572.0703125
2019-09-19,-12476.171875
2019-09-20,-9134.1796875
2019-09-23,-10608.0078125
2019-09-24,-16962.109375
2019-09-25,-12182.03125
2019-09-26,-13296.09375
2019-09-27,-22976.171875
2019-10-01,-4912.109375
2019-10-02,-20796.09375
2019-10-03,-12558.0078125
2019-10-04,-7648.046875
2019-10-07,3105.859375
2019-10-08,1289.84375
2019-10-09,6851.953125
2019-10-14,26603.90625
2019-10-15,39137.890625
2019-10-16,37131.8359375
2019-10-17,43945.8984375
2019-10-18,39151.953125
2019-10-21,50141.9921875
2019-10-22,59139.84375
2019-10-23,59271.875
2019-10-24,73231.8359375
2019-10-25,70301.953125
2019-10-28,75381.8359375
2019-10-29,73297.8515625
2019-10-30,84639.84375
2019-10-31,80643.9453125
2019-11-01,96247.8515625
2019-11-04,121139.84375
2019-11-05,134919.921875
2019-11-06,134485.9375
2019-11-07,130081.8359375
2019-11-08,119969.921875
2019-11-11,98569.921875
2019-11-12,102551.953125
2019-11-13,103651.953125
2019-11-14,102995.8984375
2019-11-15,114663.8671875
2019-11-18,127600.0
2019-11-19,135050.0
2019-11-20,120671.875
2019-11-21,117253.90625
2019-11-22,124065.8203125
2019-11-25,127577.9296875
2019-11-26,124065.8203125
2019-11-27,134243.9453125
2019-11-28,129279.8828125
2019-11-29,107891.9921875
2019-12-02,100567.96875
2019-12-03,108267.96875
2019-12-04,115253.90625
2019-12-05,133863.8671875
2019-12-06,132997.8515625
2019-12-09,135459.9609375
2019-12-10,132917.96875
2019-12-11,159300.0
2019-12-12,193483.984375
2019-12-13,189025.9765625
2019-12-16,193827.9296875
2019-12-17,218123.828125
2019-12-18,222500.0
2019-12-19,206215.8203125
2019-12-20,199731.8359375
2019-12-23,210661.9140625
2019-12-24,201691.9921875
2019-12-25,209579.8828125
2019-12-26,212447.8515625
2019-12-27,224865.8203125
2019-12-30,209741.9921875
2019-12-31,211203.90625
2020-01-02,239391.9921875
2020-01-03,213045.8984375
2020-01-06,198297.8515625
2020-01-07,169655.859375
2020-01-08,182595.8984375
2020-01-09,182595.8984375
2020-01-10,182595.8984375
2020-01-13,182595.8984375
2020-01-14,182595.8984375
2020-01-15,182595.8984375
2020-01-16,182595.8984375
2020-01-17,182595.8984375
