,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
0,0.1,1,1,1,20,0.01,0.01,0.01,361,6.7407407407407405,231882.2265625,0.23188222656250002,0.24128592463910148,0.9610267441390672,27,0.4074074074074074,1.2186075984188247,0.05041142612211259
1,0.1,1,1,1,20,0.01,0.01,0.025,361,12.875,-107033.59375,-0.10703359374999999,0.41057467440690254,-0.260692147913448,16,0.3125,0.741923294917816,-0.015770489264165254
2,0.1,1,1,1,20,0.01,0.01,0.04,361,39.333333333333336,622883.59375,0.6228835937499999,0.1550695748417521,4.016800809479553,6,0.6666666666666666,7.623326589601206,0.10523544479692151
3,0.1,1,1,1,20,0.01,0.01,0.05500000000000001,361,47.8,475431.8359375,0.47543183593750005,0.19036165660210613,2.497518903879091,5,0.8,5.909970167557875,0.07941712173568584
4,0.1,1,1,1,20,0.01,0.01,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
5,0.1,1,1,1,20,0.01,0.01,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
6,0.1,1,1,1,20,0.01,0.01,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
7,0.1,1,1,1,20,0.01,0.03,0.01,361,6.5,49394.53125,0.04939453124999993,0.26457474231919365,0.18669405407719672,24,0.4166666666666667,1.0995383684199431,0.015118881658234867
8,0.1,1,1,1,20,0.01,0.03,0.025,361,11.733333333333333,-194827.734375,-0.194827734375,0.402707034816138,-0.48379520974584306,15,0.3333333333333333,0.7563121559402137,-0.032958792995396294
9,0.1,1,1,1,20,0.01,0.03,0.04,361,39.0,566206.4453125,0.5662064453125,0.15885199949331963,3.5643646105714346,6,0.6666666666666666,7.059828266793607,0.09621771462408751
10,0.1,1,1,1,20,0.01,0.03,0.05500000000000001,361,47.6,446937.890625,0.4469378906249999,0.19429483092409072,2.3003076741635735,5,0.8,5.6157020709241605,0.0748890873219947
11,0.1,1,1,1,20,0.01,0.03,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
12,0.1,1,1,1,20,0.01,0.03,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
13,0.1,1,1,1,20,0.01,0.03,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
14,0.1,1,1,1,20,0.01,0.049999999999999996,0.01,361,6.681818181818182,223646.2890625,0.22364628906249995,0.19934678151813678,1.121895660212364,22,0.45454545454545453,1.520608808613755,0.05026775582017083
15,0.1,1,1,1,20,0.01,0.049999999999999996,0.025,361,12.846153846153847,-1625.5859375,-0.0016255859374999515,0.25938579904238557,-0.006267058348997428,13,0.38461538461538464,1.0348623642129338,0.002698104299147051
16,0.1,1,1,1,20,0.01,0.049999999999999996,0.04,361,46.2,564262.109375,0.564262109375,0.1550695748417521,3.6387673723283713,5,0.6,5.80648912683611,0.09570829459570938
17,0.1,1,1,1,20,0.01,0.049999999999999996,0.05500000000000001,361,47.2,425600.1953125,0.42560019531249993,0.19036165660210613,2.2357453854380416,5,0.6,4.625341268111542,0.07126982773998278
18,0.1,1,1,1,20,0.01,0.049999999999999996,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
19,0.1,1,1,1,20,0.01,0.049999999999999996,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
20,0.1,1,1,1,20,0.01,0.049999999999999996,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
21,0.1,1,1,1,20,0.01,0.06999999999999999,0.01,361,6.476190476190476,144838.28125,0.14483828124999998,0.19881762981414275,0.7284981788858295,21,0.42857142857142855,1.3024345760698985,0.03529027555815252
22,0.1,1,1,1,20,0.01,0.06999999999999999,0.025,361,13.166666666666666,-147367.578125,-0.147367578125,0.36750013728018327,-0.40100006279085143,12,0.4166666666666667,0.7585031150429449,-0.02618413216153453
23,0.1,1,1,1,20,0.01,0.06999999999999999,0.04,361,55.0,485454.1015625,0.4854541015625,0.1666332379918285,2.9133089377180927,4,0.75,6.013474017132979,0.08404643134765374
